date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:36	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
20:54:36	41558/41558	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2011:38:33%20GMT	https://preview.colorlib.com/theme/electro/	preview.colorlib.com/theme/electro/index.html	(from )
20:54:37	22701/22701	---M-Z	200	added ('OK')	text/css	etag:%2258ad-5c1f9bcd53101-gzip%22	https://preview.colorlib.com/theme/electro/css/bootstrap.min.css	preview.colorlib.com/theme/electro/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/electro/)
20:54:37	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/slick.css	preview.colorlib.com/theme/electro/css/slick.css	(from https://preview.colorlib.com/theme/electro/)
20:54:38	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/slick-theme.css	preview.colorlib.com/theme/electro/css/slick-theme.css	(from https://preview.colorlib.com/theme/electro/)
20:54:41	48/48	---MCZ	200	added ('OK')	text/css	etag:W/%2230-5c1f9bcd540a1%22	https://preview.colorlib.com/theme/electro/css/nouislider.min.css	preview.colorlib.com/theme/electro/css/nouislider.min.css	(from https://preview.colorlib.com/theme/electro/)
20:54:41	2131/2131	---M-Z	200	added ('OK')	text/css	etag:%22853-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/font-awesome.min.css	preview.colorlib.com/theme/electro/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/electro/)
20:54:42	41057/41057	---M-Z	200	added ('OK')	text/css	etag:%22a061-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/style.css	preview.colorlib.com/theme/electro/css/style.css	(from https://preview.colorlib.com/theme/electro/)
20:54:43	2251/2251	---M--	200	added ('OK')	image/png	etag:%228cb-56749bcd67c80%22	https://preview.colorlib.com/theme/electro/img/logo.png	preview.colorlib.com/theme/electro/img/logo.png	(from https://preview.colorlib.com/theme/electro/)
20:54:45	287437/287437	---M--	200	added ('OK')	image/png	etag:%22462cd-56749bf575b00%22	https://preview.colorlib.com/theme/electro/img/product01.png	preview.colorlib.com/theme/electro/img/product01.png	(from https://preview.colorlib.com/theme/electro/)
20:54:47	175826/175826	---M--	200	added ('OK')	image/png	etag:%222aed2-56749c9889bc0%22	https://preview.colorlib.com/theme/electro/img/shop01.png	preview.colorlib.com/theme/electro/img/shop01.png	(from https://preview.colorlib.com/theme/electro/)
20:54:47	211715/211715	---M--	200	added ('OK')	image/png	etag:%2233b03-56749cb802600%22	https://preview.colorlib.com/theme/electro/img/shop03.png	preview.colorlib.com/theme/electro/img/shop03.png	(from https://preview.colorlib.com/theme/electro/)
20:54:47	190321/190321	---M--	200	added ('OK')	image/png	etag:%222e771-56749c0e41580%22	https://preview.colorlib.com/theme/electro/img/product02.png	preview.colorlib.com/theme/electro/img/product02.png	(from https://preview.colorlib.com/theme/electro/)
